#coronavirus,, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
knew, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
lost, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
hereâs, p_yes: 1.5046825721645762e-06, p_no: 0.0014115145797840135, c_yes: 0, c_no: 4
this,, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
population., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
thank, p_yes: 0.0004529094542215374, p_no: 0.0014115145797840135, c_yes: 3, c_no: 4
now., p_yes: 0.0007538459686544526, p_no: 0.001059515931458823, c_yes: 5, c_no: 3
political, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
yourself, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
january., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
calling, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
today, p_yes: 0.0007538459686544526, p_no: 0.0007075172831336327, c_yes: 5, c_no: 2
weeks, p_yes: 0.0015061872547367408, p_no: 0.0007075172831336327, c_yes: 10, c_no: 2
action, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
known, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
immediately, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
tell, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
warns, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
#coronavirus., p_yes: 0.0019575920263861135, p_no: 3.519986483251904e-06, c_yes: 13, c_no: 0
fine., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
cool, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
future, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
bailout, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
spreads, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
gives, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
i’ve, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
pure, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
heroes, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
dynasty, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
donated, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
handling, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
#covid19., p_yes: 0.0012052507403038256, p_no: 3.519986483251904e-06, c_yes: 8, c_no: 0
follow, p_yes: 0.0004529094542215374, p_no: 0.001763513228109204, c_yes: 3, c_no: 5
dies, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
told, p_yes: 0.0012052507403038256, p_no: 0.00035551863480844234, c_yes: 8, c_no: 1
turning, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
epidemic, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
@houseforeign, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
about, p_yes: 0.004966957170715266, p_no: 0.0038755051180603467, c_yes: 33, c_no: 11
remind, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
numbers, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
up., p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
hit, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
pushing, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
isn’t, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
isn't, p_yes: 0.0007538459686544526, p_no: 0.001059515931458823, c_yes: 5, c_no: 3
many, p_yes: 0.0016566555119531983, p_no: 0.0014115145797840135, c_yes: 11, c_no: 4
she, p_yes: 0.0009043142258709102, p_no: 0.00035551863480844234, c_yes: 6, c_no: 1
4., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
fat, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
her, p_yes: 0.001355718997520283, p_no: 0.0007075172831336327, c_yes: 9, c_no: 2
united, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
combination, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
makes, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
sources, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
says, p_yes: 0.0010547824830873678, p_no: 0.00035551863480844234, c_yes: 7, c_no: 1
countries, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
question, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
ass, p_yes: 1.5046825721645762e-06, p_no: 0.001763513228109204, c_yes: 0, c_no: 5
advice, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
here, p_yes: 0.0004529094542215374, p_no: 0.0021155118764343943, c_yes: 3, c_no: 6
them,, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
understand, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
start, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
ago., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
collecting, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
2., p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
:, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
#fakenews, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
advised, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
sucks, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
shortage, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
won, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
correct, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
miss, p_yes: 1.5046825721645762e-06, p_no: 0.0014115145797840135, c_yes: 0, c_no: 4
delhi, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
eating, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
india's, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
message, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
&amp;, p_yes: 0.005719298456797554, p_no: 0.0024675105247595848, c_yes: 38, c_no: 7
he, p_yes: 0.004666020656282351, p_no: 0.001763513228109204, c_yes: 31, c_no: 5
tried, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
mostly, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
parties., p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
over, p_yes: 0.0022585285408190285, p_no: 0.001763513228109204, c_yes: 15, c_no: 5
fact, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
stay, p_yes: 0.0010547824830873678, p_no: 0.00035551863480844234, c_yes: 7, c_no: 1
cases., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
korea, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
other, p_yes: 0.0019575920263861135, p_no: 0.00035551863480844234, c_yes: 13, c_no: 1
experts, p_yes: 0.0007538459686544526, p_no: 0.001059515931458823, c_yes: 5, c_no: 3
damage, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
published, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
news, p_yes: 0.0019575920263861135, p_no: 0.0014115145797840135, c_yes: 13, c_no: 4
lives, p_yes: 0.000603377711437995, p_no: 0.001059515931458823, c_yes: 4, c_no: 3
according, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
“hey, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
more, p_yes: 0.0016566555119531983, p_no: 0.0021155118764343943, c_yes: 11, c_no: 6
receipts., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
after, p_yes: 0.001807123769169656, p_no: 0.0028195091730847752, c_yes: 12, c_no: 8
vaccine, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
but, p_yes: 0.003311806341334232, p_no: 0.00633949565633668, c_yes: 22, c_no: 18
#coronavirusupdate, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
again, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
show, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
@realdonaldtrump, p_yes: 0.001807123769169656, p_no: 0.0021155118764343943, c_yes: 12, c_no: 6
thought, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
isolate, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
report, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
treatment, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
even, p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
man, p_yes: 0.001355718997520283, p_no: 0.00035551863480844234, c_yes: 9, c_no: 1
food, p_yes: 1.5046825721645762e-06, p_no: 0.0014115145797840135, c_yes: 0, c_no: 4
you., p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
infect, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
alert, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
israel, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
associated, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
6, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
policy, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
make, p_yes: 0.001355718997520283, p_no: 0.0007075172831336327, c_yes: 9, c_no: 2
attended, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
impact, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
own, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
room, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
state, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
it., p_yes: 0.0009043142258709102, p_no: 0.0014115145797840135, c_yes: 6, c_no: 4
them, p_yes: 0.000603377711437995, p_no: 0.0024675105247595848, c_yes: 4, c_no: 7
salary, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
proper, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
days, p_yes: 0.0015061872547367408, p_no: 3.519986483251904e-06, c_yes: 10, c_no: 0
hope, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
sen, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
lung, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
asian, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
na, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
people:, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
be, p_yes: 0.008126790572260876, p_no: 0.007747490249637442, c_yes: 54, c_no: 22
reported, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
committee,, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
free, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
government, p_yes: 0.0016566555119531983, p_no: 0.00035551863480844234, c_yes: 11, c_no: 1
friend, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
below, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
people, p_yes: 0.004515552399065893, p_no: 0.0059874970080114895, c_yes: 30, c_no: 17
your, p_yes: 0.0028604015696848594, p_no: 0.005283499711361109, c_yes: 19, c_no: 15
staff,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
severe, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
under, p_yes: 0.0009043142258709102, p_no: 0.00035551863480844234, c_yes: 6, c_no: 1
doc, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
director, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
refused, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
gen, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
wear, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
bihar., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
president, p_yes: 0.0012052507403038256, p_no: 0.001059515931458823, c_yes: 8, c_no: 3
making, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
americans, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
he's, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
@cdcgov, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
through, p_yes: 0.0010547824830873678, p_no: 0.0007075172831336327, c_yes: 7, c_no: 2
statement, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
kits., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
on, p_yes: 0.010233346173291283, p_no: 0.009859482139588585, c_yes: 68, c_no: 28
2020, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
today., p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
illegally, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
#coronavirus, p_yes: 0.00842772708669379, p_no: 0.008099488897962632, c_yes: 56, c_no: 23
fuck, p_yes: 0.00030244119700507976, p_no: 0.0014115145797840135, c_yes: 2, c_no: 4
assistant, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
not, p_yes: 0.007675385800611502, p_no: 0.007043492952987061, c_yes: 51, c_no: 20
shit, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
isolation, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
period, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
virus"", p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
1., p_yes: 0.0007538459686544526, p_no: 0.0007075172831336327, c_yes: 5, c_no: 2
“the, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
public, p_yes: 0.0015061872547367408, p_no: 0.0014115145797840135, c_yes: 10, c_no: 4
#uae, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
months, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
visits., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
emergency., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
cases, p_yes: 0.004365084141849436, p_no: 0.00035551863480844234, c_yes: 29, c_no: 1
die, p_yes: 0.0010547824830873678, p_no: 0.001059515931458823, c_yes: 7, c_no: 3
heard, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
couple, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
helped, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
seasonal, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
pandemic, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
here., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
administration, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
leave, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
paper, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
fear, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
seeing, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
rumor, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
9, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
dear, p_yes: 0.0010547824830873678, p_no: 0.001763513228109204, c_yes: 7, c_no: 5
rate., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
most, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
survived, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
holy, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
deadlier, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
saw, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
fucking, p_yes: 0.0004529094542215374, p_no: 0.001059515931458823, c_yes: 3, c_no: 3
doctor, p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
refusing, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
reportedly, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
nation, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
crisis., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
comment, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
hospital., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
minute, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
decided, p_yes: 0.0009043142258709102, p_no: 0.00035551863480844234, c_yes: 6, c_no: 1
here's, p_yes: 1.5046825721645762e-06, p_no: 0.0014115145797840135, c_yes: 0, c_no: 4
clinical, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
#covidー19, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
breaking:, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
bitch, p_yes: 1.5046825721645762e-06, p_no: 0.001763513228109204, c_yes: 0, c_no: 5
line, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
control, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
reporting, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
case,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
didn’t, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
asked, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
treating, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
does, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
won't, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
outbreak., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
officially, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
dead, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
works, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
really, p_yes: 0.0010547824830873678, p_no: 0.00035551863480844234, c_yes: 7, c_no: 1
pidi, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
happy, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
week,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
morning,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
--, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
fine, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
chronic, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
shutdown, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
., p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
area, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
which, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
personal, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
it?, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
giving, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
community, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
1, p_yes: 0.0012052507403038256, p_no: 0.00035551863480844234, c_yes: 8, c_no: 1
from, p_yes: 0.007524917543395045, p_no: 0.005283499711361109, c_yes: 50, c_no: 15
orders, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
watch, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
possible, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
#coronavirusindia, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
entire, p_yes: 0.0007538459686544526, p_no: 0.0007075172831336327, c_yes: 5, c_no: 2
cure, p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
people!, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
person, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
bill, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
health, p_yes: 0.00346227459855069, p_no: 0.001059515931458823, c_yes: 23, c_no: 3
war, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
media., p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
science, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
virus., p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
+, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
who, p_yes: 0.004214615884632978, p_no: 0.0038755051180603467, c_yes: 28, c_no: 11
donating, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
went, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
focus, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
ago, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
disease, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
10, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
number, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
telling, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
excellent, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
india, p_yes: 0.001355718997520283, p_no: 0.00035551863480844234, c_yes: 9, c_no: 1
released, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
real, p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
ain’t, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
cough, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
tonight., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
kills, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
