reports, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
pure, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
online, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
family, p_yes: 0.00012279635258358662, p_no: 0.0009639423076923077
wash, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
lies, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
prom, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
done, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
actual, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
thread, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
even, p_yes: 0.0007306990881458966, p_no: 0.0004831730769230769
tested, p_yes: 0.0009738601823708206, p_no: 0.0004831730769230769
covidー19, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
deadly, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
account, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
bro, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
million, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
exposed, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
qatar, p_yes: 0.0014601823708206686, p_no: 2.403846153846154e-06
ago, p_yes: 0.0013386018237082067, p_no: 2.403846153846154e-06
fellow, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
parties, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
long, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
thought, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
“what, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
returned, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
both, p_yes: 0.0007306990881458966, p_no: 0.00024278846153846155
attended, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
companies, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
follow, p_yes: 0.00036595744680851063, p_no: 0.001204326923076923
republican, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
israelis, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
1, p_yes: 0.0020680851063829787, p_no: 0.0009639423076923077
local, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
lives, p_yes: 0.0007306990881458966, p_no: 0.0009639423076923077
as, p_yes: 0.003770212765957447, p_no: 0.003848557692307693
doing, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
way, p_yes: 0.0008522796352583587, p_no: 0.001204326923076923
fewer, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
distancing, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
pneumonia, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
india, p_yes: 0.0014601823708206686, p_no: 0.0004831730769230769
society, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
year, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
call, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
cdcgov, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
shameful, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
60, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
mayors, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
full, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
vegetarianism, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
everyone, p_yes: 0.0004875379939209726, p_no: 0.0019254807692307692
video, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
bad, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
officially, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
tbh, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
morning, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
federal, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
boris, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
reportedly, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
covid2019, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
jan, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
for, p_yes: 0.010943465045592706, p_no: 0.008415865384615384
policy, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
son, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
situation, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
impose, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
research, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
ventilators, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
see, p_yes: 0.0006091185410334346, p_no: 0.001204326923076923
fight, p_yes: 0.0007306990881458966, p_no: 0.0009639423076923077
hands, p_yes: 0.0010954407294832826, p_no: 0.0004831730769230769
wants, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
start, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
touching, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
globally, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
schools, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
much, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
hotel, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
indiafightscorona, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
centre, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
saying, p_yes: 0.00012279635258358662, p_no: 0.0009639423076923077
the, p_yes: 0.03927173252279635, p_no: 0.03197355769230769
coming, p_yes: 0.00036595744680851063, p_no: 0.001204326923076923
american, p_yes: 0.0008522796352583587, p_no: 0.0009639423076923077
fully, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
employees, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
information, p_yes: 0.0010954407294832826, p_no: 0.0007235576923076923
lot, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
hit, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
official, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
developed, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
talking, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
has, p_yes: 0.006080243161094225, p_no: 0.0009639423076923077
now, p_yes: 0.003405471124620061, p_no: 0.0021658653846153846
collecting, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
shared, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
gop, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
putting, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
good, p_yes: 0.0002443768996960486, p_no: 0.001204326923076923
looking, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
isnt, p_yes: 0.0006091185410334346, p_no: 0.0007235576923076923
it’s, p_yes: 0.0008522796352583587, p_no: 0.0007235576923076923
looks, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
class, p_yes: 0.0002443768996960486, p_no: 0.0007235576923076923
wouldn’t, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
dirty, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
victims, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
general, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
holy, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
asian, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
older, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
associated, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
his, p_yes: 0.001946504559270517, p_no: 0.0009639423076923077
wait, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
travel, p_yes: 0.0008522796352583587, p_no: 0.00024278846153846155
tactics, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
website, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
again, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
nigeria, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
clinical, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
danger, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
anxiety, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
14, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
breaking, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
38yearold, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
tonight, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
dr, p_yes: 0.0002443768996960486, p_no: 0.0007235576923076923
tiktok, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
violating, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
hatred, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
fisa, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
act, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
our, p_yes: 0.0014601823708206686, p_no: 0.0026466346153846154
80, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
assistant, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
citizen, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
return, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
suicide, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
1st, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
likely, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
namaste, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
ever, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
country, p_yes: 0.0007306990881458966, p_no: 0.0004831730769230769
quarantine, p_yes: 0.0007306990881458966, p_no: 0.0014447115384615384
bcos, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
message, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
italian, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
dear, p_yes: 0.0008522796352583587, p_no: 0.001204326923076923
israel, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
have, p_yes: 0.004742857142857142, p_no: 0.006252403846153847
prioritize, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
medical, p_yes: 0.0012170212765957446, p_no: 0.0007235576923076923
patients, p_yes: 0.0014601823708206686, p_no: 0.00024278846153846155
government, p_yes: 0.0015817629179331308, p_no: 0.00024278846153846155
rt, p_yes: 0.00036595744680851063, p_no: 0.0016850961538461538
april, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
confront, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
enough, p_yes: 0.0007306990881458966, p_no: 0.0004831730769230769
came, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
20, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
never, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
minute, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
nationalnurses, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
just, p_yes: 0.003283890577507599, p_no: 0.0026466346153846154
one, p_yes: 0.0017033434650455927, p_no: 0.0016850961538461538
rumor, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
shut, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
committee, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
fakenews, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
kill, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
â£57470, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
symptom, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
personal, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
4, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
she’s, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
🥰, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
told, p_yes: 0.0009738601823708206, p_no: 0.00024278846153846155
losing, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
most, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
small, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
q, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
approach, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
confirms, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
hospitals, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
chloroquine, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
away, p_yes: 0.0006091185410334346, p_no: 0.0007235576923076923
gave, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
take, p_yes: 0.0014601823708206686, p_no: 0.0007235576923076923
dead, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
crashes, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
real, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
approx, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
visits, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
failed, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
miss, p_yes: 1.21580547112462e-06, p_no: 0.0009639423076923077
demanding, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
listen, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
plan, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
2, p_yes: 0.0018249240121580546, p_no: 0.0009639423076923077
self, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
quarantined, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
works, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
place, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
quote, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
continue, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
watch, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
same, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
but, p_yes: 0.002675987841945289, p_no: 0.004329326923076924
current, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
cost, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
issue, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
door, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
dont, p_yes: 0.0012170212765957446, p_no: 0.0014447115384615384
france, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
“we, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
paid, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
correct, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
trying, p_yes: 0.00012279635258358662, p_no: 0.0009639423076923077
thespybrief, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
safety, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
experts, p_yes: 0.0007306990881458966, p_no: 0.0009639423076923077
downplayed, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
better, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
feel, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
doesnât, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
does, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
indian, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
kit, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
always, p_yes: 0.00012279635258358662, p_no: 0.0009639423076923077
v, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
cough, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
surgical, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
inside, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
released, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
off, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
theories, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
advice, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
sometimes, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
essential, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
yourself, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
fighting, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
years, p_yes: 0.0009738601823708206, p_no: 0.00024278846153846155
feb, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
republicans, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
responsible, p_yes: 0.0002443768996960486, p_no: 0.0009639423076923077
i’m, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
we, p_yes: 0.0058370820668693, p_no: 0.00505048076923077
big, p_yes: 0.0004875379939209726, p_no: 0.001204326923076923
explain, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
clip, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
clear, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
staying, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
money, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
covid19, p_yes: 0.014712462006079029, p_no: 0.010098557692307691
united, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
line, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
refuse, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
trading, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
alert‼️‼️‼️, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
fact, p_yes: 0.0006091185410334346, p_no: 0.0007235576923076923
aware, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
epidemiologist, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
hard, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
fifacom, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
some, p_yes: 0.0008522796352583587, p_no: 0.0004831730769230769
cannot, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
lost, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
give, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
bitch, p_yes: 1.21580547112462e-06, p_no: 0.001204326923076923
young, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
free, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
vaccine, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
create, p_yes: 0.0002443768996960486, p_no: 0.0007235576923076923
you, p_yes: 0.006688145896656535, p_no: 0.012502403846153845
wishes, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
infected, p_yes: 0.0010954407294832826, p_no: 0.00024278846153846155
illegally, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
too, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
combat, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
clearly, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
center, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
due, p_yes: 0.0009738601823708206, p_no: 0.0007235576923076923
something, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
detail, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
friday, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
months, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
movies, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
salary, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
nasty, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
reminder, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
advised, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
someone, p_yes: 0.0007306990881458966, p_no: 0.00024278846153846155
leave, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
name, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
thats, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
light, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
control, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
kyari, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
playing, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
statements, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
combination, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
strong, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
kids, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
handling, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
thanks, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
right, p_yes: 0.0009738601823708206, p_no: 0.0007235576923076923
myself, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
saw, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
great, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
caught, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
rumours, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
whats, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
global, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
means, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
tweets, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
almost, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
himself, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
50, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
access, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
didnt, p_yes: 0.00012279635258358662, p_no: 0.0009639423076923077
info, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
private, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
fear, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
house, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
impact, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
sarscov2, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
health, p_yes: 0.003162310030395137, p_no: 0.0007235576923076923
outside, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
leading, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
request, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
heroes, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
everything, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
cheap, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
cdc, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
any, p_yes: 0.0013386018237082067, p_no: 0.0007235576923076923
using, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
politicians, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
measures, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
work, p_yes: 0.0015817629179331308, p_no: 0.00024278846153846155
do, p_yes: 0.0017033434650455927, p_no: 0.0028870192307692308
wear, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
change, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
asked, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
stop, p_yes: 0.0017033434650455927, p_no: 0.0007235576923076923
treating, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
infects, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
coronvirus, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
largest, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
being, p_yes: 0.0015817629179331308, p_no: 0.0004831730769230769
nation, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
infect, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
businesses, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
9, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
their, p_yes: 0.0017033434650455927, p_no: 0.003127403846153846
how, p_yes: 0.0007306990881458966, p_no: 0.003608173076923077
heres, p_yes: 1.21580547112462e-06, p_no: 0.0009639423076923077
single, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
best, p_yes: 0.0002443768996960486, p_no: 0.0009639423076923077
financial, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
precautions, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
people, p_yes: 0.004986018237082067, p_no: 0.004810096153846154
bailout, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
read, p_yes: 0.0007306990881458966, p_no: 0.0009639423076923077
38, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
your, p_yes: 0.002311246200607903, p_no: 0.003608173076923077
tweet, p_yes: 0.0002443768996960486, p_no: 0.0009639423076923077
time, p_yes: 0.0013386018237082067, p_no: 0.0016850961538461538
platform, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
theres, p_yes: 0.0007306990881458966, p_no: 0.0004831730769230769
frontline, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
absolutely, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
gaston, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
me, p_yes: 0.0012170212765957446, p_no: 0.00240625
aiims, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
hear, p_yes: 0.0002443768996960486, p_no: 0.0014447115384615384
peopleâs, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
decided, p_yes: 0.0007306990881458966, p_no: 0.00024278846153846155
epidemic, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
entire, p_yes: 0.0006091185410334346, p_no: 0.0004831730769230769
march, p_yes: 0.0009738601823708206, p_no: 0.00024278846153846155
10, p_yes: 0.0007306990881458966, p_no: 0.00024278846153846155
boomer, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
shutdown, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
to, p_yes: 0.029666869300911853, p_no: 0.022358173076923078
professionals, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
understand, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
her, p_yes: 0.0010954407294832826, p_no: 0.0004831730769230769
in, p_yes: 0.017022492401215804, p_no: 0.010579326923076922
live, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
check, p_yes: 0.0006091185410334346, p_no: 0.0007235576923076923
costs, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
ask, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
giving, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
past, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
failure, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
without, p_yes: 0.0004875379939209726, p_no: 0.0014447115384615384
cancel, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
story, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
politics, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
between, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
director, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
protect, p_yes: 0.0008522796352583587, p_no: 0.0004831730769230769
rumors, p_yes: 0.0009738601823708206, p_no: 0.0007235576923076923
they, p_yes: 0.003040729483282675, p_no: 0.0028870192307692308
test, p_yes: 0.0017033434650455927, p_no: 0.0009639423076923077
front, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
